timestamp,New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Wind Speed [10 m],New York Wind Direction [10 m]
20210116T0200,36.223015,100,33.47032,108.82471
20210116T0300,37.267014,100,27.21038,115.887024
20210116T0400,37.933014,100,19.523155,112.782394
20210116T0500,38.617016,100,14.982228,125.21759
20210116T0600,39.211014,100,10.390226,165.96376
20210116T0700,42.181015,100,27.181787,191.45876
20210116T0800,42.073013,100,6.28713,193.24052
20210116T0900,42.055016,100,7.5942082,211.42957
20210116T1000,42.379013,99,12.229406,227.38594
20210116T1100,44.413013,97,18.171976,236.30994
20210116T1200,45.403015,90,26.807312,247.91284
20210116T1300,45.763016,82,34.17157,258.4533
20210116T1400,45.18701,78,40.321606,269.48846
20210116T1500,42.433014,77,46.675213,275.75458
20210116T1600,39.247013,75,50.226128,274.93417
20210116T1700,36.421013,74,51.859993,271.59113
20210116T1800,33.325016,73,50.446266,272.45404
20210116T1900,30.427015,75,49.218727,275.87738
20210116T2000,29.635015,78,35.1862,277.0523
20210116T2100,29.221014,81,39.732323,287.94244
20210116T2200,28.159016,82,41.12517,299.93152
20210116T2300,27.277016,83,42.1323,310.49512
20210117T0000,25.387014,80,42.039925,312.57074
20210117T0100,23.281013,73,41.616997,307.26642
20210117T0200,21.175014,71,41.43911,304.38034
20210117T0300,19.573013,73,40.17832,306.25385
20210117T0400,18.493015,78,38.236336,307.73306
20210117T0500,17.845015,79,36.881996,308.65982
20210117T0600,17.107014,77,36.217144,307.32553
20210117T0700,16.315016,76,34.860565,305.33133
20210117T0800,18.133015,74,29.808346,307.1467
20210117T0900,20.329014,71,31.093666,317.81555
20210117T1000,23.173016,60,27.36947,324.63754
20210117T1100,25.585014,57,23.358423,331.46002
20210117T1200,27.511015,52,19.523155,337.2176
20210117T1300,28.987015,51,17.31746,339.30457
20210117T1400,30.121016,48,15.379206,339.44397
20210117T1500,30.733015,49,14.587776,344.24884
20210117T1600,30.805016,51,14.205182,351.25385
20210117T1700,30.193014,55,13.339445,356.90594
20210117T1800,29.401014,60,11.542478,3.5763245
20210117T1900,29.311014,61,10.931203,17.241455
20210117T2000,28.933014,63,7.754637,338.1986
20210117T2100,28.609015,68,6.5693827,350.5377
20210117T2200,27.385015,80,7.9932976,7.765167
20210117T2300,26.467014,89,7.8954163,24.227737
20210118T0000,26.629015,88,7.8954163,24.227737
20210118T0100,27.259014,84,7.289444,20.224854
20210118T0200,27.367016,80,9.693296,21.801407
20210118T0300,27.277016,80,14.20062,30.465546
20210118T0400,27.151014,79,16.179987,32.275635
20210118T0500,26.989014,76,17.57744,34.99202
20210118T0600,26.719015,73,18.899143,40.364532
20210118T0700,26.107014,72,21.897945,46.3322
20210118T0800,24.631014,88,23.469128,48.731384
20210118T0900,25.315014,85,24.33664,60.780754
20210118T1000,25.495014,90,27.691935,63.76805
20210118T1100,25.765015,94,26.61323,59.966713
20210118T1200,26.395016,94,26.250393,64.8407
