timestamp,New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Wind Speed [10 m],New York Wind Direction [10 m]
20200816T1500,42.433014,77,46.675213,275.75458
20200816T1600,39.247013,75,50.226128,274.93417
20200816T1700,36.421013,74,51.859993,271.59113
20200816T1800,33.325016,73,50.446266,272.45404
20200816T1900,30.427015,75,49.218727,275.87738
20200816T2000,29.635015,78,35.1862,277.0523
20200816T2100,29.221014,81,39.732323,287.94244
20200816T2200,28.159016,82,41.12517,299.93152
20200816T2300,27.277016,83,42.1323,310.49512
20200817T0000,25.387014,80,42.039925,312.57074
20200817T0100,23.281013,73,41.616997,307.26642
20200817T0200,21.175014,71,41.43911,304.38034
20200817T0300,19.573013,73,40.17832,306.25385
20200817T0400,18.493015,78,38.236336,307.73306
20200817T0500,17.845015,79,36.881996,308.65982
20200817T0600,17.107014,77,36.217144,307.32553
20200817T0700,16.315016,76,34.860565,305.33133
20200817T0800,18.133015,74,29.808346,307.1467
20200817T0900,20.329014,71,31.093666,317.81555
20200817T1000,23.173016,60,27.36947,324.63754
20200817T1100,25.585014,57,23.358423,331.46002
20200817T1200,27.511015,52,19.523155,337.2176
20200817T1300,28.987015,51,17.31746,339.30457
20200817T1400,30.121016,48,15.379206,339.44397
20200817T1500,30.733015,49,14.587776,344.24884
20200817T1600,30.805016,51,14.205182,351.25385
20200817T1700,30.193014,55,13.339445,356.90594
20200817T1800,29.401014,60,11.542478,3.5763245
20200817T1900,29.311014,61,10.931203,17.241455
20200817T2000,28.933014,63,7.754637,338.1986
20200817T2100,28.609015,68,6.5693827,350.5377
20200817T2200,27.385015,80,7.9932976,7.765167
20200817T2300,26.467014,89,7.8954163,24.227737
20200818T0000,26.629015,88,7.8954163,24.227737
20200818T0100,27.259014,84,7.289444,20.224854
20200818T0200,27.367016,80,9.693296,21.801407
20200818T0300,27.277016,80,14.20062,30.465546
20200818T0400,27.151014,79,16.179987,32.275635
20200818T0500,26.989014,76,17.57744,34.99202
20200818T0600,26.719015,73,18.899143,40.364532
20200818T0700,26.107014,72,21.897945,46.3322
20200818T0800,24.631014,88,23.469128,48.731384
